Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
0.424000	3.999101	0.299933	0.531880	0.295933	0.001000	0.002423	4034.992933	138.970507
0.426000	3.999093	0.299932	0.531879	0.295932	0.001000	0.002423	4034.019987	138.970211
0.428000	3.999084	0.299931	0.531878	0.295931	0.001000	0.002423	4033.047168	138.969914
0.430000	3.999075	0.299931	0.531877	0.295931	0.001000	0.002423	4032.074477	138.969616
0.432000	3.999067	0.299930	0.531876	0.295930	0.001000	0.002423	4031.101914	138.969316
0.434000	3.999058	0.299929	0.531875	0.295929	0.001000	0.002423	4030.129477	138.969014
0.436000	3.999049	0.299929	0.531874	0.295929	0.001000	0.002423	4029.157168	138.968712
0.438000	3.999041	0.299928	0.531872	0.295928	0.001000	0.002423	4028.184986	138.968408
0.440000	3.999032	0.299927	0.531871	0.295927	0.001000	0.002423	4027.212931	138.968102
0.442000	3.999023	0.299927	0.531870	0.295927	0.001000	0.002423	4026.241004	138.967796
0.444000	3.999014	0.299926	0.531869	0.295926	0.001000	0.002423	4025.269204	138.967487
0.446000	3.999005	0.299925	0.531868	0.295925	0.001000	0.002423	4024.297531	138.967178
0.448000	3.998996	0.299925	0.531867	0.295925	0.001000	0.002423	4023.325986	138.966867
0.450000	3.998987	0.299924	0.531865	0.295924	0.001000	0.002423	4022.354567	138.966554
0.452000	3.998978	0.299923	0.531864	0.295923	0.001000	0.002423	4021.383277	138.966241
0.454000	3.998969	0.299923	0.531863	0.295923	0.001000	0.002423	4020.412113	138.965925
0.456000	3.998960	0.299922	0.531862	0.295922	0.001000	0.002423	4019.441077	138.965609
0.458000	3.998951	0.299921	0.531860	0.295921	0.001000	0.002423	4018.470168	138.965291
0.460000	3.998942	0.299921	0.531859	0.295921	0.001000	0.002423	4017.499386	138.964972
0.462000	3.998933	0.299920	0.531858	0.295920	0.001000	0.002423	4016.528731	138.964651
0.464000	3.998923	0.299919	0.531857	0.295919	0.001000	0.002423	4015.558204	138.964329
0.466000	3.998914	0.299919	0.531856	0.295919	0.001000	0.002423	4014.587804	138.964005
0.468000	3.998905	0.299918	0.531854	0.295918	0.001000	0.002423	4013.617532	138.963680
0.470000	3.998895	0.299917	0.531853	0.295917	0.001000	0.002423	4012.647387	138.963354
0.472000	3.998886	0.299916	0.531852	0.295916	0.001000	0.002423	4011.677369	138.963026
0.474000	3.998876	0.299916	0.531851	0.295916	0.001000	0.002423	4010.707478	138.962697
0.476000	3.998867	0.299915	0.531849	0.295915	0.001000	0.002423	4009.737715	138.962367
0.478000	3.998857	0.299914	0.531848	0.295914	0.001000	0.002423	4008.768078	138.962035
0.480000	3.998848	0.299914	0.531847	0.295914	0.001000	0.002423	4007.798570	138.961702
0.482000	3.998838	0.299913	0.531845	0.295913	0.001000	0.002423	4006.829188	138.961367
0.484000	3.998829	0.299912	0.531844	0.295912	0.001000	0.002423	4005.859934	138.961031
0.486000	3.998819	0.299911	0.531843	0.295911	0.001000	0.002423	4004.890807	138.960694
0.488000	3.998809	0.299911	0.531842	0.295911	0.001000	0.002423	4003.921807	138.960355
0.490000	3.998799	0.299910	0.531840	0.295910	0.001000	0.002423	4002.952935	138.960015
0.492000	3.998789	0.299909	0.531839	0.295909	0.001000	0.002423	4001.984190	138.959673
0.494000	3.998780	0.299908	0.531838	0.295908	0.001000	0.002423	4001.015572	138.959330
0.496000	3.998770	0.299908	0.531836	0.295908	0.001000	0.002423	4000.047081	138.958985
0.498000	3.998760	0.299907	0.531835	0.295907	0.001000	0.002423	3999.078718	138.958640
0.500000	3.998750	0.299906	0.531834	0.295906	0.001000	0.002423	3998.110482	138.958293
0.502000	3.998740	0.299905	0.531832	0.295905	0.001000	0.002423	3997.142373	138.957944
0.504000	3.998730	0.299905	0.531831	0.295905	0.001000	0.002423	3996.174392	138.957594
0.506000	3.998720	0.299904	0.531830	0.295904	0.001000	0.002423	3995.206538	138.957243
0.508000	3.998709	0.299903	0.531828	0.295903	0.001000	0.002423	3994.238811	138.956890
0.510000	3.998699	0.299902	0.531827	0.295902	0.001000	0.002423	3993.271212	138.956536
0.512000	3.998689	0.299902	0.531826	0.295902	0.001000	0.002423	3992.303739	138.956180
0.514000	3.998679	0.299901	0.531824	0.295901	0.001000	0.002423	3991.336394	138.955823
0.516000	3.998668	0.299900	0.531823	0.295900	0.001000	0.002423	3990.369177	138.955465
0.518000	3.998658	0.299899	0.531822	0.295899	0.001000	0.002423	3989.402086	138.955105
0.520000	3.998648	0.299899	0.531820	0.295899	0.001000	0.002423	3988.435123	138.954744
0.522000	3.998637	0.299898	0.531819	0.295898	0.001000	0.002423	3987.468287	138.954382
0.524000	3.998627	0.299897	0.531817	0.295897	0.001000	0.002423	3986.501579	138.954018
0.526000	3.998616	0.299896	0.531816	0.295896	0.001000	0.002423	3985.534997	138.953652
0.528000	3.998606	0.299895	0.531815	0.295895	0.001000	0.002423	3984.568543	138.953286
